DRMEL_ECC_Checkbits_on_store,1 / 1 (100%)
,
,
DRMEL_ECC_Enable_Disable_memory_error_checking,2 / 2 (100%)
,
,
DRMEL_ECC_Error_detection_and_correction,6 / 6 (100%)
,
,
DRMEL_ECC_Error_propagation_consumption,6 / 6 (100%)
,
,
DRMEL_ECC_Information_about_the_error,6 / 6 (100%)
,
,
DRMEL_ECC_Inform_system_about_error,6 / 6 (100%)
,
,
DRMEL_ECC_Inject_and_check_errors,6 / 6 (100%)
,
,
DRMEL_ECC_Memory_read_request,6 / 6 (100%)
,
,
DRMEL_ECC_Safety_mechanism,6 / 6 (100%)
,
,
ICMEL_ECC_Checkbits_on_store,1 / 1 (100%)
,
,
ICMEL_ECC_Enable_Disable_memory_error_checking,4 / 8 (50%)
,
,
ICMEL_ECC_Error_detection_and_correction,3 / 8 (37.5%)
,
,
ICMEL_ECC_Error_propagation_consumption,4 / 8 (50%)
,
,
ICMEL_ECC_Information_about_the_error,3 / 8 (37.5%)
,
,
ICMEL_ECC_Inform_system_about_error,3 / 8 (37.5%)
,
,
ICMEL_ECC_Inject_and_check_errors,3 / 8 (37.5%)
,
,
ICMEL_ECC_Safety_mechanism,4 / 8 (50%)
,
,
ICMEL_ECC_Memory_Correction,1 / 4 (25%)
,
,
ICMEL_ECC_Memory_read_request,3 / 4 (75%)
,
,
BIS_Bus_interface_protocols,3 / 3 (100%)
,
,
BIS_Clock_frequency_ratio,1 / 1 (100%)
,
,
BIS_Master_interface_for_IMS_and_DMS,3 / 3 (100%)
,
,
DES_Architectural_State_on_Imprecise,4 / 4 (100%)
,
,
DES_Decode_instructions,1 / 1 (100%)
,
,
DES_Exception_functionality,37 / 37 (100%)
,
,
DES_Execute_related_exception,1 / 1 (100%)
,
,
DES_State_and_register_file,25 / 26 (96.15%)
,
,
DES_Sync_and_barrier_instructions,1 / 1 (100%)
,
,
DMS_Burst_transfer_iDMA,1 / 1 (100%)
,
,
DMS_descriptors_iDMA,1 / 1 (100%)
,
,
DMS_DMA_descriptors_iDMA,31 / 31 (100%)
,
,
DMS_End_of_operation_iDMA,3 / 3 (100%)
,
,
DMS_Error_logging_iDMA,8 / 8 (100%)
,
,
